business_id,snapshot_date,province,industry_sector,legal_entity_type,business_age_years,annual_revenue,predicted_default_probability,orey_financial_health_score,risk_band,lending_decision,indicative_pricing_tier,indicative_monthly_rate,facility_limit_guidance,monitoring_frequency
APP-00001,2026-08-28,Gauteng,Wholesale Trade,Sole Proprietor,20.7,2278333.53,0.24515858778417046,586,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00002,2026-08-14,Western Cape,Hospitality & Food Service,NPO,3.2,3542803.27,0.04743542375549296,640,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00003,2026-08-21,Western Cape,Health & Wellness,Pty Ltd,2.4,416222.62,0.04296134713072061,643,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00004,2026-08-27,KwaZulu-Natal,Professional Services,Pty Ltd,16.1,752318.68,0.2185688010576583,590,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00005,2026-08-28,KwaZulu-Natal,Professional Services,Sole Proprietor,1.1,279777.0,0.19543424658194994,594,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00006,2026-08-08,North West,Manufacturing,Sole Proprietor,11.5,5034886.39,0.03624472929171618,648,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00007,2026-08-13,Western Cape,Agriculture,Pty Ltd,11.8,3856696.45,0.5182713485197288,551,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00008,2026-08-21,Western Cape,Hospitality & Food Service,Pty Ltd,4.9,2218904.68,0.27123053134541647,582,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00009,2026-08-12,KwaZulu-Natal,Hospitality & Food Service,Sole Proprietor,1.6,383237.76,0.05719403896944849,634,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00010,2026-08-09,Limpopo,Wholesale Trade,Sole Proprietor,3.3,1267317.01,0.21344385407942176,591,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00011,2026-08-18,Eastern Cape,ICT & Tech Services,Pty Ltd,5.9,,0.63936700600351,537,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00012,2026-08-26,Western Cape,Wholesale Trade,Pty Ltd,9.5,1226581.26,0.014534583496258925,675,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00013,2026-08-14,Mpumalanga,Professional Services,Partnership,7.8,1001598.36,0.011050013547023556,683,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00014,2026-08-12,Western Cape,Real Estate,Pty Ltd,7.3,1828772.38,0.43295052518297406,561,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00015,2026-08-23,North West,Wholesale Trade,Sole Proprietor,3.8,735647.51,0.17350116713017685,599,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00016,2026-08-15,Gauteng,Personal Services,Sole Proprietor,10.9,2543901.75,0.08453731127746063,622,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00017,2026-08-09,Gauteng,Professional Services,Pty Ltd,2.2,1295781.31,0.7706297609738152,519,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00018,2026-08-26,Mpumalanga,ICT & Tech Services,Pty Ltd,3.0,822182.05,0.043491385547210486,643,Low Risk,Approve,Tier B,2.75% - 4.0%,"Standard limit, standard tenor",Quarterly
APP-00019,2026-08-18,Gauteng,Health & Wellness,Pty Ltd,6.1,1028722.69,0.6712923629366769,533,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00020,2026-08-20,Mpumalanga,Hospitality & Food Service,Pty Ltd,9.0,764892.42,0.4655664719526886,558,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00021,2026-08-24,KwaZulu-Natal,Personal Services,Pty Ltd,7.4,2280440.99,0.19320046104268157,595,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00022,2026-08-03,KwaZulu-Natal,Wholesale Trade,Pty Ltd,7.7,929285.73,0.08786852351071399,621,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00023,2026-08-25,Gauteng,Wholesale Trade,Pty Ltd,3.6,1277913.68,0.08340680580092426,623,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00024,2026-08-04,Free State,Agriculture,Pty Ltd,10.3,806407.46,0.2762995606187907,581,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00025,2026-08-01,Gauteng,Hospitality & Food Service,Close Corporation,0.6,288108.8,0.01619774911220975,672,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00026,2026-08-29,North West,Agriculture,Pty Ltd,3.1,,0.7877371862979368,516,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00027,2026-08-09,Limpopo,Manufacturing,Pty Ltd,1.6,385636.52,0.3663419933496761,569,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00028,2026-08-01,Western Cape,Agriculture,Close Corporation,2.1,1990366.23,0.6502466281170756,536,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00029,2026-08-21,Gauteng,ICT & Tech Services,Sole Proprietor,7.3,1522068.75,0.0963035951401838,618,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00030,2026-08-09,Limpopo,Wholesale Trade,Pty Ltd,9.3,298360.15,0.25435999634563494,585,High Risk,Refer for manual underwriting,Tier D,5.5% - 7.0%,"Reduced limit, short tenor, with additional bureau/affordability checks",Monthly
APP-00031,2026-08-13,Western Cape,Health & Wellness,Pty Ltd,2.3,389790.52,0.016347166457900787,672,Very Low Risk,Approve — preferred terms,Tier A,2.0% - 2.75%,"Higher limit eligible, longer tenor eligible",Quarterly
APP-00032,2026-08-28,Gauteng,Construction,Sole Proprietor,5.3,743016.27,0.3194160169212022,575,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00033,2026-08-17,Western Cape,ICT & Tech Services,Pty Ltd,17.1,610018.48,0.8165586744817248,510,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00034,2026-08-01,Gauteng,Agriculture,Close Corporation,6.7,406392.51,0.7149672819043448,527,Very High Risk,Decline,N/A,N/A,No facility offered,N/A
APP-00035,2026-08-20,Western Cape,Construction,Close Corporation,13.6,2280377.77,0.09004501828289584,620,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
APP-00036,2026-08-05,KwaZulu-Natal,Health & Wellness,Pty Ltd,10.8,971943.7,0.07985659408862542,624,Moderate Risk,Approve with conditions,Tier C,4.0% - 5.5%,"Standard limit with tighter covenant (e.g. minimum balance, revenue-linked repayment)",Monthly
