feature,source_type,description,risk_direction_expected
fe_credit_volatility,engineered,90-day credit volatility measure.,
fe_cash_flow_trend,engineered,90-day cash-flow trend.,
fe_min_to_avg_balance,engineered,Minimum 90-day balance divided by average 90-day balance.,
fe_weekly_credits_to_fixed_debits,engineered,Estimated monthly credit inflow relative to fixed monthly debits.,
fe_credit_growth_90_vs_180,engineered,Credit growth between the 90-day and 180-day windows.,
fe_credit_growth_180_vs_365,engineered,Credit growth between the 180-day and 365-day windows.,
fe_balance_to_monthly_expenses,engineered,Average 90-day balance divided by monthly expenses.,
fe_min_balance_to_expenses,engineered,Minimum 90-day balance divided by monthly expenses.,
fe_negative_balance_frequency,engineered,Frequency of negative account balances.,
fe_negative_balance_days,engineered,Number of days with negative balances.,
fe_free_cash_after_fixed_debits,engineered,Free cash flow after fixed monthly debits.,
fe_free_cash_margin,engineered,Free cash flow divided by monthly revenue.,
fe_fixed_debit_burden,engineered,Fixed monthly debits divided by monthly revenue.,
fe_fixed_debits_to_credits,engineered,Fixed monthly debits relative to average monthly credits.,
fe_dscr,engineered,Debt service coverage ratio.,
fe_operating_margin,engineered,Monthly operating surplus divided by monthly revenue.,
fe_expense_to_revenue,engineered,Monthly expenses divided by monthly revenue.,
fe_free_cash_to_expenses,engineered,Free cash flow divided by monthly expenses.,
fe_debt_to_assets,engineered,Total liabilities divided by total assets.,
fe_debt_to_equity,engineered,Total liabilities divided by total equity.,
fe_equity_to_assets,engineered,Total equity divided by total assets.,
fe_liabilities_to_annual_revenue,engineered,Total liabilities divided by annual revenue.,
fe_debt_exposure_to_revenue,engineered,Existing debt exposure divided by annual revenue.,
fe_bounced_payment_count,engineered,,
fe_reversed_transaction_count,engineered,Cumulative reversed transaction count up to the snapshot date.,
fe_debit_order_count,engineered,,
fe_operational_distress_events,engineered,Combined bounced payment and reversed transaction count.,
fe_distress_to_debit_orders,engineered,Operational distress events relative to debit orders.,
fe_fees_to_credits,engineered,Fees relative to total credits.,
fe_business_credit_score,engineered,Business bureau credit score.,
fe_business_credit_utilization,engineered,Business bureau credit utilization.,
fe_business_arrears_days,engineered,Business bureau arrears days.,
fe_business_judgments,engineered,Number of business bureau judgments.,
fe_business_credit_facilities,engineered,Number of business credit facilities.,
fe_bureau_debt_to_revenue,engineered,Existing debt exposure relative to annual revenue.,
fe_director_credit_score,engineered,Director bureau credit score.,
fe_director_credit_utilization,engineered,Director bureau credit utilization.,
fe_director_judgments,engineered,Number of director judgments.,
fe_business_vs_director_utilization,engineered,Difference between business and director credit utilization.,
fe_business_age,engineered,Business age in years.,
fe_num_directors,engineered,Number of directors.,
fe_revenue_per_director,engineered,Monthly revenue divided by number of directors.,
fe_transaction_count,engineered,Number of transactions available up to the snapshot date.,
fe_transaction_balance_min,engineered,Minimum account balance observed up to the snapshot date.,
fe_transaction_amount_total,engineered,Total transaction amount available up to the snapshot date.,
fe_transaction_amount_mean,engineered,Mean transaction amount available up to the snapshot date.,
fe_transaction_amount_std,engineered,Sample standard deviation of transaction amounts available up to the snapshot date.,
fe_transaction_balance_mean,engineered,Mean account balance after transactions available up to the snapshot date.,
fe_unpaid_transaction_count,engineered,Cumulative unpaid transaction count up to the snapshot date.,
fe_bounced_transaction_count,engineered,Cumulative bounced transaction count up to the snapshot date.,
fe_reversed_transaction_count,engineered,Cumulative reversed transaction count up to the snapshot date.,
fe_paid_transaction_count,engineered,Cumulative paid transaction count up to the snapshot date.,
fe_transaction_type_bank fee_count,engineered,,
fe_transaction_type_card purchase_count,engineered,,
fe_transaction_type_cash deposit_count,engineered,,
fe_transaction_type_credit - sales/eft in_count,engineered,,
fe_transaction_type_debit order_count,engineered,,
fe_transaction_type_eft payment_count,engineered,,
fe_transaction_type_interest charge_count,engineered,,
fe_transaction_type_loan repayment_count,engineered,,
fe_unpaid_transaction_rate,engineered,Unpaid transactions divided by total transactions available up to the snapshot date.,
fe_bounced_transaction_rate,engineered,Bounced transactions divided by total transactions available up to the snapshot date.,
fe_reversed_transaction_rate,engineered,Reversed transactions divided by total transactions available up to the snapshot date.,
